Unnamed: 0,propagation_type,max_noise,firstPathAmp1,firstPathAmp2,firstPathAmp3,stdNoise,maxGrowthCIR,rxPreamCount,firstPath,LDE_PPINDX,LDE_PPAMPL,first_path_power,first_ratio,index_diff,skewness
3038,0,1638,15679,17112,15169,60,15931,864,749,751,17111,-83.64242274,-4.339677526,-2,0.5087448877893586
3039,0,1637,17358,17243,15541,60,16987,869,750,753,17357,-83.30685878,-4.232729377,-3,-0.696958138
3040,0,1325,16073,16779,15273,48,15988,853,746,748,16778,-83.50639527,-4.330455303,-2,-0.076263203
3041,0,1535,17220,17104,15141,56,16907,860,747,750,17219,-83.33071032,-4.326506083,-3,-0.699272054
3042,0,1535,17298,15888,13692,56,17069,874,747,750,17297,-83.91307787,-4.81002926,-3,-0.259362817
3043,0,1640,16952,16826,16008,60,16459,851,746,749,16951,-83.19489831,-4.165440827,-3,-0.659333653
3044,0,1423,17281,17010,15365,52,16689,864,746,749,17280,-83.34070608,-4.239833644,-3,-0.65315341
3045,0,1528,16783,16270,11921,56,15923,852,748,751,16782,-83.99980146,-4.81635778,-3,-0.677882619
3046,0,1750,15830,17261,16764,64,16225,875,751,753,17260,-83.42166881,-4.088454064,-2,-0.353526195
3047,0,1744,16949,15941,12883,64,15763,854,747,750,16948,-83.9027784,-4.655109007,-3,-0.531135153
3048,0,1592,17267,16841,11649,56,16059,861,749,752,17266,-83.91203906,-4.674260273,-3,-0.692379349
3049,0,1634,16666,16676,13098,60,15055,847,744,746,16675,-83.70992249,-4.334161141,-2,-0.707088088
3050,0,1528,16887,16745,15753,56,16138,847,747,750,16886,-83.22290334,-4.14883151,-3,-0.665314971
3051,0,1529,17471,15095,14005,56,16943,881,747,750,17470,-84.04084377,-4.836327974,-3,0.4183459902689976
3052,0,1527,15602,16354,9181,56,16481,862,743,747,17141,-84.73376067,-5.598550213,-4,-0.678270562
3053,0,1424,17277,15784,14457,52,16827,866,748,751,17276,-83.73149797,-4.646306339,-3,0.071942472843244
3054,0,1530,15486,16925,10576,56,17170,871,746,750,17292,-84.52131505,-5.473754169,-4,-0.561383156
3055,0,1705,15231,17753,15716,60,17183,878,747,749,17752,-83.64089212,-4.527090963,-2,0.6040604176132166
3056,0,1638,16853,16438,11098,60,15588,844,749,752,16852,-83.98841588,-4.794570179,-3,-0.693830281
3057,0,1841,15908,17106,16265,68,16920,871,748,750,17105,-83.48428031,-4.373020056,-2,0.4487176327699473
3058,0,1417,16735,16781,12852,52,15718,850,744,746,16780,-83.74401368,-4.524707273,-2,-0.706775844
3059,0,1694,15760,17276,16027,60,16596,859,747,749,17275,-83.39891006,-4.324180305,-2,0.6215046767365423
3060,0,1420,16064,16469,12340,56,16758,865,747,751,16682,-84.17530888,-5.082307855,-4,-0.6820013
3061,0,1530,17026,16753,9402,56,16186,860,743,746,17025,-84.27147545,-5.078001049,-3,-0.703938693
3062,0,1636,17064,16043,13575,60,16391,868,750,753,17063,-83.89031132,-4.67107058,-3,-0.458262634
3063,0,1531,16922,16855,15784,56,16664,848,749,752,16921,-83.20200477,-4.256979559,-3,-0.698359333
3064,0,1421,16575,16119,13458,52,15413,848,745,748,16574,-83.79078558,-4.506839584,-3,-0.649189647
3065,0,1638,16552,14641,9257,60,16440,850,745,749,16746,-84.76911104,-5.744849921,-4,-0.509567509
3066,0,1736,15326,17681,15990,64,17042,884,750,752,17680,-83.65089408,-4.442153647,-2,0.4767705583299463
3067,0,1633,16759,15990,12626,60,15815,854,746,749,16758,-83.97331426,-4.739948075,-3,-0.610992753
3068,0,1647,16821,16805,14403,60,15800,852,749,752,16820,-83.49811809,-4.280996329,-3,-0.707001598
